mitochondrial SSU ribosomal RNA	12S
MTATP6	ATP6
MTATP8	ATP8
mtCO1	COX1
MTCO1	COX1
MTCO2	COX2
MTCO3	COX3
mt-co	COX3
mt COI	COX1
mtCOI	COX1
mtcyb	CYTB
MT-CYB	CYTB
MTCYTB	CYTB
mtLSU rRNA	16S
mtND1	NAD1
MT-ND1	NAD1
MTND5	NAD5
NA4L	NAD4L
nad1	NAD1
Nad1	NAD1
NAD1	NAD1
nad1 protein	NAD1
nad2	NAD2
Nad2	NAD2
NAD2	NAD2
nad3	NAD3
nad4_0	NAD4
nad4l	NAD4L
nad 4L	NAD4L
nad4L	NAD4L
nad4	NAD4
Nad4	NAD4
NAD4	NAD4
nad5	NAD5
NAD5	NAD5
nad6	NAD6
NAD dehydrogenase 1	NAD1
NAD Dehydrogenase subunit 1	NAD1
NAD dehydrogenase subunit 2	NAD2
NAD dehydrogenase subunit 3	NAD3
NAD dehydrogenase subunit 4L	NAD4L
NAD dehydrogenase subunit 5	NAD5
NAD dehydrogenase subunit 6	NAD6
NADG dehydrogenase subunit 3	NAD3
NADH 1 dehydrogenase	NAD1
NADH1 dehydrogenase subunit 1	NAD1
nadh-1	NAD1
nadh1	NAD1
NADH 1	NAD1
NADH-1	NAD1
NADH1	NAD1
NADH1 protein	NAD1
nadh2	NAD2
NADH 2	NAD2
NADH-2	NAD2
NADH2	NAD2
NADH2 protein	NAD2
nadh3	NAD3
NADH 3	NAD3
NADH-3	NAD3
NADH3	NAD3
NADH3 protein	NAD3
nadh4L	NAD4L
NADH 4L	NAD4L
NADH-4L	NAD4L
NADH4L	NAD4L
NADH4L protein	NAD4L
nadh4	NAD4
NADH 4	NAD4
NADH-4	NAD4
NADH4	NAD4
NADH4 protein	NAD4
nadh 5	NAD5
nadh5	NAD5
NADH 5	NAD5
NADH-5	NAD5
NADH5	NAD5
NADH5 protein	NAD5
nadh6	NAD6
NADH 6	NAD6
NADH-6	NAD6
NADH6	NAD6
NADH6 protein	NAD6
NADH dedhydrogenase subunit 1	NAD1
NADH dedydrogenase subunit 1	NAD1
NADH dehdrogenase subnuit 2	NAD2
NADH dehdrogenase subunit 1	NAD1
NADH dehdrogenase subunit 2	NAD2
NADH dehdrogenase subunit 4	NAD4
NADH dehdyrogenase subunit 1	NAD1
NADH dehdyrogenase subunit 2	NAD2
NADH dehyadrogenase subunit 2	NAD2
NADH dehybrogenase subunit 1	NAD1
NADH dehydgrogenase subunit 1	NAD1
NADH dehydgrogenase subunit 2	NAD2
NADH dehydogenase subunit 1	NAD1
NADH dehydogenase subunit 2	NAD2
NADH dehydogenase subunit 3	NAD3
NADH dehydogenase subunit 4L	NAD4L
NADH dehydogenase subunit 4	NAD4
NADH dehydogenase subunit 5	NAD5
NADH dehydogenase subunit 6	NAD6
NADH dehydogenase subunit I	NAD1
NADH dehydorgenase subunit 2	NAD2
NADH dehydorgenase subunit 4	NAD4
NADH dehydorogenase subunit 2	NAD2
NADH dehydorogenese subunit 2	NAD2
NADH dehydrigenase subunit 5	NAD5
NADH dehydrodenase subunit 5	NAD5
NADH dehydroenase subunit 1	NAD1
NADH dehydrogenae subunit 4L	NAD4L
NADH dehydrogenasa subunit 5	NAD5
NADH dehydrogenase 1	NAD1
NADH dehydrogenase 2	NAD2
NADH dehydrogenase 3	NAD3
NADH dehydrogenase 4L	NAD4L
NADH dehydrogenase 4	NAD4
NADH dehydrogenase 5	NAD5
NADH dehydrogenase-5	NAD5
NADH dehydrogenase 5 subunit	NAD5
NADH dehydrogenase 6	NAD6
NADH dehydrogenase chain 5	NAD5
NADH dehydrogenase complex 1	NAD1
NADH dehydrogenase complex 2	NAD2
NADH dehydrogenase complex 3	NAD3
NADH dehydrogenase complex 4L	NAD4L
NADH dehydrogenase complex 4	NAD4
NADH dehydrogenase complex 5	NAD5
NADH dehydrogenase complex 6	NAD6
NADH dehydrogenase complex subunit 1	NAD1
NADH dehydrogenase III	NAD3
NADH dehydrogenase I	NAD1
NADH dehydrogenase, mitochondrial subunit 1	NAD1
NADH dehydrogenase	NAD1
NADH dehydrogenase	NAD2
NADH dehydrogenase	NAD3
NADH dehydrogenase	NAD4
NADH dehydrogenase	NAD5
NADH dehydrogenase	NAD6
NADH dehydrogenase (ND1) subunit 1	NAD1
NADH dehydrogenase (ND2) subunit 2	NAD2
NADH dehydrogenase (ND3) subunit 3	NAD3
NADH dehydrogenase (ND4) subunit 4	NAD4
NADH dehydrogenase (ND5) subunit 5	NAD5
NADH dehydrogenase (ND6) subunit 6	NAD6
NADH dehydrogenase respiratory chain subunit 1	NAD1
NADH dehydrogenase respiratory chain subunit 2	NAD2
NADH dehydrogenase respiratory chain subunit 4L	NAD4L
NADH dehydrogenase respiratory chain subunit 4	NAD4
NADH dehydrogenase respiratory chain subunit 5	NAD5
NADH dehydrogenase respiratory chain subunit 6	NAD6
NADH dehydrogenase subnit 1	NAD1
NADH dehydrogenase subnit 2	NAD2
NADH dehydrogenase subnit 3	NAD3
NADH dehydrogenase subnit 4L	NAD4L
NADH dehydrogenase subnit 4	NAD4
NADH dehydrogenase subnit 5	NAD5
NADH dehydrogenase subnit 6	NAD6
NADH dehydrogenase subnuit 1	NAD1
NADH dehydrogenase subnuit 2	NAD2
NADH dehydrogenase subnuit 3	NAD3
NADH dehydrogenase subuint 5	NAD5
NADH dehydrogenase subujnit 4L	NAD4L
NADH dehydrogenase subumit 1	NAD1
NADH dehydrogenase subumit 2	NAD2
NADH dehydrogenase subumit 3	NAD3
NADH dehydrogenase subumit 4L	NAD4L
NADH dehydrogenase subumit 4	NAD4
NADH dehydrogenase subumit 5	NAD5
NADH dehydrogenase subumit 6	NAD6
NADH dehydrogenase subuni1	NAD1
NADH dehydrogenase subunit #1	NAD1
